sample interval	  ECG I	iltered
            995	 -0.005	 -0.110
            996	  0.000	 -0.110
            997	 -0.010	 -0.110
            998	 -0.025	 -0.105
            999	 -0.030	 -0.105
           1000	 -0.045	 -0.105
           1001	 -0.045	 -0.110
           1002	 -0.045	 -0.110
           1003	 -0.035	 -0.115
           1004	 -0.040	 -0.120
           1005	 -0.025	 -0.120
           1006	 -0.010	 -0.125
           1007	 -0.025	 -0.120
           1008	 -0.040	 -0.120
           1009	 -0.040	 -0.110
           1010	 -0.030	 -0.105
           1011	 -0.035	 -0.100
           1012	 -0.040	 -0.095
           1013	 -0.025	 -0.090
           1014	 -0.020	 -0.095
           1015	 -0.015	 -0.100
           1016	 -0.005	 -0.105
           1017	 -0.010	 -0.110
           1018	 -0.025	 -0.115
           1019	 -0.040	 -0.120
           1020	 -0.045	 -0.120
           1021	 -0.040	 -0.120
           1022	 -0.020	 -0.120
           1023	 -0.015	 -0.115
           1024	 -0.010	 -0.115
           1025	  0.000	 -0.115
           1026	 -0.005	 -0.115
           1027	 -0.010	 -0.110
           1028	 -0.010	 -0.110
           1029	 -0.015	 -0.105
           1030	  0.000	 -0.095
           1031	  0.010	 -0.085
           1032	  0.025	 -0.070
           1033	  0.065	 -0.055
           1034	  0.070	 -0.040
           1035	  0.085	 -0.025
           1036	  0.100	 -0.010
           1037	  0.100	  0.000
           1038	  0.090	  0.005
           1039	  0.090	  0.010
           1040	  0.095	  0.015
           1041	  0.085	  0.015
           1042	  0.100	  0.015
           1043	  0.105	  0.015
           1044	  0.110	  0.020
           1045	  0.120	  0.020
           1046	  0.125	  0.025
           1047	  0.130	  0.030
           1048	  0.145	  0.040
           1049	  0.155	  0.045
           1050	  0.145	  0.050
           1051	  0.135	  0.060
           1052	  0.150	  0.065
           1053	  0.165	  0.070
           1054	  0.180	  0.075
           1055	  0.185	  0.080
           1056	  0.175	  0.080
           1057	  0.170	  0.080
           1058	  0.165	  0.085
           1059	  0.175	  0.085
           1060	  0.170	  0.085
           1061	  0.160	  0.085
           1062	  0.170	  0.080
           1063	  0.170	  0.080
           1064	  0.170	  0.080
           1065	  0.165	  0.075
           1066	  0.160	  0.075
           1067	  0.150	  0.070
           1068	  0.135	  0.065
           1069	  0.115	  0.065
           1070	  0.115	  0.060
           1071	  0.105	  0.055
           1072	  0.110	  0.055
           1073	  0.120	  0.050
           1074	  0.125	  0.045
           1075	  0.130	  0.040
           1076	  0.140	  0.040
           1077	  0.125	  0.035
           1078	  0.125	  0.030
           1079	  0.120	  0.030
           1080	  0.110	  0.030
           1081	  0.095	  0.030
           1082	  0.095	  0.030
           1083	  0.095	  0.035
           1084	  0.105	  0.035
           1085	  0.115	  0.035
           1086	  0.120	  0.035
           1087	  0.105	  0.030
           1088	  0.095	  0.025
           1089	  0.080	  0.020
           1090	  0.075	  0.015
           1091	  0.075	  0.010
           1092	  0.090	  0.005
           1093	  0.110	  0.000
           1094	  0.115	 -0.005
           1095	  0.120	 -0.005
           1096	  0.125	 -0.005
           1097	  0.095	 -0.005
           1098	  0.080	 -0.005
           1099	  0.070	  0.000
           1100	  0.060	  0.000
           1101	  0.085	  0.005
           1102	  0.100	  0.005
           1103	  0.100	  0.010
           1104	  0.105	  0.010
           1105	  0.115	  0.005
           1106	  0.105	  0.005
           1107	  0.095	  0.005
           1108	  0.085	  0.000
           1109	  0.075	  0.000
           1110	  0.070	  0.000
           1111	  0.080	  0.000
           1112	  0.075	 -0.005
           1113	  0.080	 -0.005
           1114	  0.090	 -0.005
           1115	  0.080	 -0.010
           1116	  0.090	 -0.020
           1117	  0.055	 -0.025
           1118	  0.045	 -0.035
           1119	  0.020	 -0.040
           1120	  0.020	 -0.045
           1121	  0.040	 -0.040
           1122	  0.070	 -0.025
           1123	  0.115	  0.000
           1124	  0.175	  0.040
           1125	  0.235	  0.090
           1126	  0.280	  0.155
           1127	  0.325	  0.230
           1128	  0.385	  0.310
           1129	  0.445	  0.400
           1130	  0.555	  0.490
           1131	  0.680	  0.575
           1132	  0.820	  0.650
           1133	  0.890	  0.705
           1134	  0.860	  0.735
           1135	  0.840	  0.735
           1136	  0.775	  0.705
           1137	  0.695	  0.640
           1138	  0.595	  0.550
           1139	  0.505	  0.440
           1140	  0.395	  0.320
           1141	  0.265	  0.205
           1142	  0.155	  0.100
           1143	  0.050	  0.015
           1144	  0.010	 -0.045
           1145	  0.035	 -0.075
           1146	  0.040	 -0.085
           1147	  0.040	 -0.075
           1148	  0.055	 -0.055
           1149	  0.060	 -0.035
           1150	  0.075	 -0.010
           1151	  0.095	  0.005
           1152	  0.120	  0.010
           1153	  0.130	  0.015
           1154	  0.125	  0.015
           1155	  0.130	  0.015
           1156	  0.120	  0.015
           1157	  0.105	  0.020
           1158	  0.090	  0.025
           1159	  0.085	  0.030
           1160	  0.090	  0.030
           1161	  0.105	  0.035
           1162	  0.110	  0.035
           1163	  0.110	  0.030
           1164	  0.120	  0.025
           1165	  0.130	  0.020
           1166	  0.125	  0.015
           1167	  0.110	  0.010
           1168	  0.090	  0.010
           1169	  0.075	  0.015
           1170	  0.080	  0.020
           1171	  0.095	  0.025
           1172	  0.115	  0.030
           1173	  0.115	  0.030
           1174	  0.115	  0.035
           1175	  0.140	  0.030
           1176	  0.110	  0.030
           1177	  0.100	  0.025
           1178	  0.095	  0.025
           1179	  0.085	  0.025
           1180	  0.100	  0.020
           1181	  0.120	  0.020
           1182	  0.130	  0.020
           1183	  0.135	  0.020
           1184	  0.140	  0.020
           1185	  0.145	  0.020
           1186	  0.130	  0.020
           1187	  0.115	  0.020
           1188	  0.110	  0.020
           1189	  0.105	  0.020
           1190	  0.110	  0.025
           1191	  0.130	  0.025
           1192	  0.140	  0.030
           1193	  0.150	  0.035
           1194	  0.155	  0.040
           1195	  0.165	  0.040
           1196	  0.135	  0.045
           1197	  0.115	  0.045
           1198	  0.110	  0.045
           1199	  0.115	  0.045
           1200	  0.110	  0.045
           1201	  0.130	  0.040
           1202	  0.135	  0.040
           1203	  0.140	  0.040
           1204	  0.155	  0.045
           1205	  0.165	  0.045
           1206	  0.160	  0.045
           1207	  0.150	  0.050
           1208	  0.145	  0.050
           1209	  0.145	  0.050
           1210	  0.135	  0.055
           1211	  0.140	  0.055
           1212	  0.165	  0.060
           1213	  0.170	  0.065
           1214	  0.175	  0.070
           1215	  0.170	  0.075
           1216	  0.170	  0.080
           1217	  0.165	  0.085
           1218	  0.175	  0.090
           1219	  0.160	  0.090
           1220	  0.165	  0.095
           1221	  0.180	  0.095
           1222	  0.210	  0.095
           1223	  0.215	  0.100
           1224	  0.225	  0.105
           1225	  0.225	  0.110
           1226	  0.215	  0.120
           1227	  0.210	  0.130
           1228	  0.220	  0.140
           1229	  0.200	  0.150
           1230	  0.225	  0.165
           1231	  0.250	  0.170
           1232	  0.255	  0.180
           1233	  0.260	  0.185
           1234	  0.270	  0.185
           1235	  0.270	  0.190
           1236	  0.270	  0.190
           1237	  0.265	  0.190
           1238	  0.265	  0.190
           1239	  0.250	  0.190
           1240	  0.265	  0.195
           1241	  0.265	  0.200
           1242	  0.280	  0.205
           1243	  0.295	  0.205
           1244	  0.295	  0.210
           1245	  0.290	  0.215
           1246	  0.290	  0.215
           1247	  0.285	  0.215
           1248	  0.280	  0.210
           1249	  0.260	  0.205
           1250	  0.260	  0.200
           1251	  0.255	  0.195
           1252	  0.260	  0.190
           1253	  0.260	  0.185
           1254	  0.270	  0.185
           1255	  0.260	  0.180
           1256	  0.235	  0.175
           1257	  0.220	  0.170
           1258	  0.190	  0.160
           1259	  0.170	  0.150
           1260	  0.170	  0.135
           1261	  0.150	  0.120
           1262	  0.155	  0.105
           1263	  0.160	  0.090
           1264	  0.150	  0.075
           1265	  0.130	  0.065
           1266	  0.120	  0.055
           1267	  0.095	  0.050
           1268	  0.095	  0.045
           1269	  0.075	  0.045
           1270	  0.080	  0.040
           1271	  0.075	  0.030
           1272	  0.075	  0.025
           1273	  0.065	  0.015
           1274	  0.065	  0.005
           1275	  0.035	 -0.005
           1276	  0.030	 -0.015
           1277	  0.020	 -0.020
           1278	  0.015	 -0.025
           1279	 -0.005	 -0.030
           1280	  0.000	 -0.030
           1281	  0.010	 -0.035
           1282	  0.010	 -0.035
           1283	  0.010	 -0.040
           1284	  0.030	 -0.050
           1285	  0.015	 -0.055
           1286	  0.005	 -0.060
           1287	 -0.010	 -0.065
           1288	 -0.020	 -0.065
           1289	 -0.030	 -0.065
           1290	 -0.020	 -0.065
           1291	 -0.015	 -0.060
           1292	 -0.010	 -0.060
           1293	 -0.005	 -0.060
           1294	  0.010	 -0.065
           1295	 -0.010	 -0.070
           1296	 -0.005	 -0.075
           1297	 -0.025	 -0.080
           1298	 -0.055	 -0.090
           1299	 -0.040	 -0.090
           1300	 -0.035	 -0.090
           1301	 -0.010	 -0.090
           1302	  0.000	 -0.085
           1303	  0.005	 -0.080
           1304	  0.005	 -0.075
           1305	 -0.005	 -0.075
           1306	 -0.030	 -0.075
           1307	 -0.035	 -0.080
           1308	 -0.040	 -0.085
           1309	 -0.030	 -0.090
           1310	 -0.035	 -0.095
           1311	 -0.030	 -0.100
           1312	 -0.020	 -0.100
           1313	 -0.015	 -0.100
           1314	 -0.010	 -0.100
           1315	 -0.025	 -0.090
           1316	 -0.035	 -0.085
           1317	 -0.055	 -0.075
           1318	 -0.055	 -0.070
           1319	 -0.050	 -0.065
           1320	 -0.040	 -0.060
           1321	 -0.025	 -0.065
           1322	 -0.015	 -0.065
           1323	 -0.020	 -0.070
           1324	 -0.010	 -0.075
           1325	 -0.025	 -0.080
           1326	 -0.030	 -0.085
           1327	 -0.035	 -0.085
           1328	 -0.050	 -0.090
           1329	 -0.055	 -0.090
           1330	 -0.040	 -0.090
           1331	 -0.040	 -0.085
           1332	 -0.020	 -0.085
           1333	 -0.015	 -0.080
           1334	 -0.020	 -0.080
           1335	 -0.030	 -0.075
           1336	 -0.045	 -0.075
           1337	 -0.050	 -0.070
           1338	 -0.055	 -0.070
           1339	 -0.055	 -0.070
           1340	 -0.050	 -0.070
           1341	 -0.020	 -0.075
           1342	 -0.025	 -0.075
           1343	 -0.025	 -0.080
           1344	 -0.015	 -0.085
           1345	 -0.035	 -0.085
           1346	 -0.040	 -0.085
           1347	 -0.040	 -0.085
           1348	 -0.040	 -0.085
           1349	 -0.040	 -0.080
           1350	 -0.025	 -0.080
           1351	 -0.035	 -0.075
           1352	 -0.030	 -0.075
           1353	 -0.025	 -0.075
           1354	 -0.030	 -0.075
           1355	 -0.045	 -0.075
           1356	 -0.060	 -0.080
           1357	 -0.060	 -0.080
           1358	 -0.065	 -0.080
           1359	 -0.060	 -0.080
           1360	 -0.040	 -0.080
           1361	 -0.030	 -0.080
           1362	 -0.035	 -0.080
           1363	 -0.030	 -0.080
           1364	 -0.025	 -0.085
           1365	 -0.045	 -0.090
           1366	 -0.045	 -0.090
           1367	 -0.065	 -0.095
           1368	 -0.070	 -0.095
           1369	 -0.065	 -0.100
           1370	 -0.055	 -0.100
           1371	 -0.050	 -0.100
           1372	 -0.035	 -0.095
           1373	 -0.030	 -0.095
           1374	 -0.030	 -0.095
           1375	 -0.045	 -0.090
           1376	 -0.060	 -0.090
           1377	 -0.065	 -0.090
           1378	 -0.075	 -0.090
           1379	 -0.070	 -0.090
           1380	 -0.050	 -0.095
           1381	 -0.050	 -0.095
           1382	 -0.040	 -0.095
           1383	 -0.030	 -0.090
           1384	 -0.040	 -0.090
           1385	 -0.045	 -0.085
           1386	 -0.060	 -0.080
           1387	 -0.060	 -0.075
           1388	 -0.065	 -0.070
           1389	 -0.075	 -0.070
           1390	 -0.070	 -0.065
           1391	 -0.060	 -0.065
           1392	 -0.055	 -0.065
           1393	 -0.045	 -0.070
           1394	 -0.050	 -0.075
           1395	 -0.055	 -0.080
           1396	 -0.065	 -0.090
           1397	 -0.065	 -0.095
           1398	 -0.080	 -0.095
           1399	 -0.065	 -0.100
           1400	 -0.055	 -0.095
           1401	 -0.040	 -0.095
           1402	 -0.040	 -0.090
           1403	 -0.030	 -0.080
           1404	 -0.035	 -0.080
           1405	 -0.050	 -0.075
           1406	 -0.075	 -0.075
           1407	 -0.075	 -0.075
           1408	 -0.095	 -0.080
           1409	 -0.090	 -0.085
           1410	 -0.065	 -0.085
           1411	 -0.055	 -0.090
           1412	 -0.045	 -0.095
           1413	 -0.045	 -0.095
           1414	 -0.055	 -0.095
           1415	 -0.070	 -0.095
           1416	 -0.080	 -0.095
           1417	 -0.075	 -0.095
           1418	 -0.075	 -0.095
           1419	 -0.065	 -0.095
           1420	 -0.060	 -0.100
           1421	 -0.055	 -0.100
           1422	 -0.045	 -0.100
           1423	 -0.040	 -0.100
           1424	 -0.040	 -0.100
           1425	 -0.055	 -0.100
           1426	 -0.075	 -0.100
           1427	 -0.075	 -0.100
           1428	 -0.080	 -0.100
           1429	 -0.065	 -0.095
           1430	 -0.060	 -0.095
           1431	 -0.055	 -0.095
           1432	 -0.060	 -0.090
           1433	 -0.045	 -0.085
           1434	 -0.065	 -0.085
           1435	 -0.075	 -0.080
           1436	 -0.085	 -0.075
           1437	 -0.090	 -0.075
           1438	 -0.090	 -0.070
           1439	 -0.075	 -0.070
           1440	 -0.055	 -0.075
           1441	 -0.030	 -0.075
           1442	 -0.025	 -0.080
           1443	 -0.045	 -0.085
           1444	 -0.065	 -0.090
           1445	 -0.075	 -0.090
           1446	 -0.085	 -0.090
           1447	 -0.090	 -0.090
           1448	 -0.100	 -0.090
           1449	 -0.085	 -0.085
           1450	 -0.070	 -0.085
           1451	 -0.060	 -0.080
           1452	 -0.045	 -0.080
           1453	 -0.040	 -0.080
           1454	 -0.060	 -0.080
           1455	 -0.070	 -0.080
           1456	 -0.075	 -0.080
           1457	 -0.085	 -0.085
           1458	 -0.085	 -0.085
           1459	 -0.070	 -0.085
           1460	 -0.060	 -0.080
           1461	 -0.060	 -0.080
           1462	 -0.055	 -0.080
           1463	 -0.050	 -0.075
           1464	 -0.065	 -0.075
           1465	 -0.075	 -0.070
           1466	 -0.075	 -0.070
           1467	 -0.080	 -0.065
           1468	 -0.070	 -0.065
           1469	 -0.060	 -0.065
           1470	 -0.055	 -0.065
           1471	 -0.055	 -0.065
           1472	 -0.045	 -0.065
           1473	 -0.040	 -0.070
           1474	 -0.065	 -0.075
           1475	 -0.080	 -0.080
           1476	 -0.090	 -0.080
           1477	 -0.070	 -0.085
           1478	 -0.080	 -0.085
           1479	 -0.070	 -0.085
           1480	 -0.050	 -0.080
           1481	 -0.045	 -0.075
           1482	 -0.050	 -0.075
           1483	 -0.045	 -0.070
           1484	 -0.055	 -0.070
           1485	 -0.070	 -0.070
           1486	 -0.075	 -0.070
           1487	 -0.070	 -0.070
           1488	 -0.065	 -0.070
           1489	 -0.060	 -0.070
           1490	 -0.055	 -0.065
           1491	 -0.055	 -0.065
           1492	 -0.040	 -0.060
           1493	 -0.045	 -0.060
           1494	 -0.060	 -0.055
           1495	 -0.055	 -0.055
           1496	 -0.050	 -0.055
           1497	 -0.065	 -0.055
           1498	 -0.055	 -0.055
           1499	 -0.040	 -0.055
           1500	 -0.035	 -0.055
           1501	 -0.015	 -0.055
           1502	 -0.020	 -0.055
           1503	 -0.030	 -0.050
           1504	 -0.035	 -0.050
           1505	 -0.050	 -0.045
           1506	 -0.050	 -0.045
           1507	 -0.050	 -0.040
           1508	 -0.050	 -0.040
           1509	 -0.040	 -0.035
           1510	 -0.020	 -0.030
           1511	  0.005	 -0.025
           1512	  0.010	 -0.020
           1513	  0.015	 -0.020
           1514	  0.000	 -0.015
           1515	  0.000	 -0.010
           1516	 -0.015	 -0.005
           1517	 -0.020	 -0.005
           1518	 -0.020	 -0.005
           1519	 -0.020	 -0.005
           1520	 -0.005	 -0.005
           1521	  0.010	 -0.005
           1522	  0.045	 -0.010
           1523	  0.025	 -0.010
           1524	  0.005	 -0.010
           1525	  0.000	 -0.010
           1526	 -0.025	 -0.010
           1527	 -0.045	 -0.010
           1528	 -0.040	 -0.010
           1529	 -0.025	 -0.010
           1530	 -0.025	 -0.015
           1531	 -0.030	 -0.015
           1532	 -0.030	 -0.020
           1533	 -0.050	 -0.025
           1534	 -0.060	 -0.030
           1535	 -0.075	 -0.040
           1536	 -0.085	 -0.045
           1537	 -0.090	 -0.055
           1538	 -0.090	 -0.060
           1539	 -0.070	 -0.070
           1540	 -0.070	 -0.075
           1541	 -0.055	 -0.075
           1542	 -0.045	 -0.080
           1543	 -0.055	 -0.080
           1544	 -0.070	 -0.075
           1545	 -0.080	 -0.070
           1546	 -0.080	 -0.070
           1547	 -0.090	 -0.065
           1548	 -0.090	 -0.060
           1549	 -0.080	 -0.060
           1550	 -0.060	 -0.055
           1551	 -0.060	 -0.055
           1552	 -0.060	 -0.060
           1553	 -0.080	 -0.060
           1554	 -0.080	 -0.065
           1555	 -0.085	 -0.065
           1556	 -0.105	 -0.070
           1557	 -0.110	 -0.075
           1558	 -0.100	 -0.075
           1559	 -0.080	 -0.080
           1560	 -0.075	 -0.085
           1561	 -0.065	 -0.085
           1562	 -0.055	 -0.085
           1563	 -0.070	 -0.085
           1564	 -0.085	 -0.085
           1565	 -0.100	 -0.085
           1566	 -0.110	 -0.085
           1567	 -0.105	 -0.085
           1568	 -0.090	 -0.085
           1569	 -0.085	 -0.085
           1570	 -0.080	 -0.085
           1571	 -0.075	 -0.085
           1572	 -0.050	 -0.080
           1573	 -0.080	 -0.080
           1574	 -0.085	 -0.075
           1575	 -0.090	 -0.075
           1576	 -0.110	 -0.070
           1577	 -0.120	 -0.070
           1578	 -0.105	 -0.070
           1579	 -0.095	 -0.075
           1580	 -0.100	 -0.080
           1581	 -0.100	 -0.085
           1582	 -0.105	 -0.090
           1583	 -0.125	 -0.095
           1584	 -0.130	 -0.095
           1585	 -0.125	 -0.090
           1586	 -0.125	 -0.080
           1587	 -0.090	 -0.060
           1588	 -0.020	 -0.030
           1589	  0.045	  0.015
           1590	  0.095	  0.070
           1591	  0.155	  0.135
           1592	  0.235	  0.215
           1593	  0.275	  0.305
           1594	  0.360	  0.395
           1595	  0.460	  0.485
           1596	  0.590	  0.560
           1597	  0.670	  0.625
           1598	  0.675	  0.665
           1599	  0.675	  0.670
           1600	  0.620	  0.650
           1601	  0.575	  0.590
           1602	  0.465	  0.505
           1603	  0.380	  0.400
           1604	  0.270	  0.280
           1605	  0.135	  0.165
           1606	 -0.010	  0.055
           1607	 -0.130	 -0.035
           1608	 -0.180	 -0.100
           1609	 -0.185	 -0.135
           1610	 -0.150	 -0.150
           1611	 -0.135	 -0.150
           1612	 -0.110	 -0.135
           1613	 -0.085	 -0.110
           1614	 -0.070	 -0.090
           1615	 -0.070	 -0.075
           1616	 -0.075	 -0.060
           1617	 -0.060	 -0.050
           1618	 -0.050	 -0.045
           1619	 -0.050	 -0.045
           1620	 -0.035	 -0.040
           1621	 -0.030	 -0.035
           1622	 -0.035	 -0.030
           1623	 -0.050	 -0.025
           1624	 -0.060	 -0.020
           1625	 -0.060	 -0.015
           1626	 -0.060	 -0.015
           1627	 -0.065	 -0.015
           1628	 -0.050	 -0.020
           1629	 -0.040	 -0.020
           1630	 -0.030	 -0.025
           1631	 -0.040	 -0.025
           1632	 -0.030	 -0.025
           1633	 -0.045	 -0.025
           1634	 -0.065	 -0.025
           1635	 -0.060	 -0.025
           1636	 -0.065	 -0.020
           1637	 -0.040	 -0.025
           1638	 -0.040	 -0.025
           1639	 -0.020	 -0.025
           1640	 -0.010	 -0.025
           1641	 -0.015	 -0.020
           1642	 -0.015	 -0.020
           1643	 -0.030	 -0.015
           1644	 -0.045	 -0.015
           1645	 -0.040	 -0.010
           1646	 -0.055	 -0.010
           1647	 -0.045	 -0.005
           1648	 -0.030	 -0.005
           1649	 -0.010	 -0.005
           1650	  0.005	 -0.005
           1651	  0.010	 -0.010
           1652	  0.000	 -0.010
           1653	 -0.025	 -0.010
           1654	 -0.030	 -0.005
           1655	 -0.035	 -0.010
           1656	 -0.065	 -0.010
           1657	 -0.040	 -0.010
           1658	 -0.015	 -0.010
           1659	 -0.015	 -0.010
           1660	 -0.005	 -0.010
           1661	  0.015	 -0.010
           1662	  0.010	 -0.010
           1663	  0.005	 -0.005
           1664	 -0.005	  0.000
           1665	 -0.010	  0.005
           1666	 -0.015	  0.010
           1667	  0.000	  0.015
           1668	 -0.005	  0.015
           1669	  0.000	  0.020
           1670	  0.010	  0.020
           1671	  0.025	  0.025
           1672	  0.030	  0.025
           1673	  0.015	  0.030
           1674	  0.015	  0.035
           1675	  0.000	  0.040
           1676	  0.010	  0.050
           1677	  0.010	  0.055
           1678	  0.030	  0.060
           1679	  0.045	  0.060
           1680	  0.055	  0.065
           1681	  0.065	  0.065
           1682	  0.070	  0.065
           1683	  0.065	  0.065
           1684	  0.060	  0.065
           1685	  0.050	  0.070
           1686	  0.065	  0.075
           1687	  0.070	  0.085
           1688	  0.100	  0.090
           1689	  0.110	  0.095
           1690	  0.115	  0.105
           1691	  0.130	  0.110
           1692	  0.130	  0.115
           1693	  0.120	  0.120
           1694	  0.115	  0.125
           1695	  0.115	  0.130
           1696	  0.125	  0.135
           1697	  0.140	  0.145
           1698	  0.155	  0.150
           1699	  0.170	  0.160
           1700	  0.165	  0.165
           1701	  0.175	  0.175
           1702	  0.165	  0.180
           1703	  0.170	  0.185
           1704	  0.185	  0.185
           1705	  0.180	  0.190
           1706	  0.175	  0.195
           1707	  0.195	  0.195
           1708	  0.200	  0.200
           1709	  0.210	  0.205
           1710	  0.195	  0.210
           1711	  0.215	  0.210
           1712	  0.195	  0.215
           1713	  0.195	  0.220
           1714	  0.190	  0.225
           1715	  0.170	  0.225
           1716	  0.165	  0.225
           1717	  0.170	  0.220
           1718	  0.185	  0.215
           1719	  0.170	  0.205
           1720	  0.175	  0.195
           1721	  0.170	  0.180
           1722	  0.175	  0.170
           1723	  0.130	  0.155
           1724	  0.125	  0.145
           1725	  0.120	  0.140
           1726	  0.105	  0.135
           1727	  0.105	  0.135
           1728	  0.110	  0.135
           1729	  0.105	  0.135
           1730	  0.100	  0.130
           1731	  0.090	  0.125
           1732	  0.075	  0.115
           1733	  0.065	  0.100
           1734	  0.045	  0.080
           1735	  0.025	  0.065
           1736	  0.005	  0.045
           1737	  0.005	  0.030
           1738	 -0.005	  0.020
           1739	  0.005	  0.015
           1740	  0.005	  0.015
           1741	  0.000	  0.015
           1742	 -0.015	  0.015
           1743	 -0.025	  0.015
           1744	 -0.030	  0.015
           1745	 -0.045	  0.010
           1746	 -0.050	  0.000
           1747	 -0.050	 -0.005
           1748	 -0.035	 -0.015
           1749	 -0.035	 -0.025
           1750	 -0.020	 -0.025
           1751	 -0.020	 -0.030
           1752	 -0.035	 -0.030
           1753	 -0.040	 -0.030
           1754	 -0.055	 -0.030
           1755	 -0.055	 -0.030
           1756	 -0.045	 -0.030
           1757	 -0.040	 -0.030
           1758	 -0.045	 -0.035
           1759	 -0.050	 -0.035
           1760	 -0.055	 -0.040
           1761	 -0.055	 -0.045
           1762	 -0.075	 -0.050
           1763	 -0.075	 -0.050
           1764	 -0.070	 -0.050
           1765	 -0.075	 -0.050
           1766	 -0.075	 -0.050
           1767	 -0.060	 -0.050
           1768	 -0.055	 -0.045
           1769	 -0.055	 -0.045
           1770	 -0.050	 -0.045
           1771	 -0.045	 -0.050
           1772	 -0.050	 -0.050
           1773	 -0.060	 -0.055
           1774	 -0.065	 -0.055
           1775	 -0.080	 -0.055
           1776	 -0.070	 -0.055
           1777	 -0.060	 -0.055
           1778	 -0.055	 -0.050
           1779	 -0.035	 -0.050
           1780	 -0.020	 -0.045
           1781	 -0.025	 -0.040
           1782	 -0.045	 -0.035
           1783	 -0.070	 -0.030
           1784	 -0.070	 -0.030
           1785	 -0.075	 -0.035
           1786	 -0.055	 -0.040
           1787	 -0.045	 -0.045
           1788	 -0.020	 -0.050
           1789	 -0.035	 -0.055
           1790	 -0.025	 -0.060
           1791	 -0.025	 -0.060
           1792	 -0.040	 -0.065
           1793	 -0.055	 -0.065
           1794	 -0.065	 -0.065
           1795	 -0.070	 -0.065
           1796	 -0.065	 -0.060
           1797	 -0.045	 -0.055
           1798	 -0.040	 -0.050
           1799	 -0.040	 -0.050
           1800	 -0.025	 -0.045
           1801	 -0.010	 -0.045
           1802	 -0.035	 -0.045
           1803	 -0.045	 -0.045
           1804	 -0.050	 -0.050
           1805	 -0.065	 -0.050
           1806	 -0.065	 -0.055
           1807	 -0.050	 -0.055
           1808	 -0.035	 -0.055
           1809	 -0.035	 -0.055
           1810	 -0.020	 -0.050
           1811	 -0.015	 -0.040
           1812	 -0.030	 -0.030
           1813	 -0.035	 -0.025
           1814	 -0.045	 -0.020
           1815	 -0.050	 -0.015
           1816	 -0.050	 -0.015
           1817	 -0.030	 -0.020
           1818	 -0.030	 -0.025
           1819	 -0.030	 -0.030
           1820	 -0.025	 -0.040
           1821	 -0.010	 -0.045
           1822	 -0.040	 -0.045
           1823	 -0.035	 -0.045
           1824	 -0.040	 -0.045
           1825	 -0.050	 -0.040
           1826	 -0.035	 -0.035
           1827	 -0.035	 -0.030
           1828	 -0.015	 -0.030
           1829	 -0.025	 -0.025
           1830	 -0.015	 -0.025
           1831	 -0.015	 -0.025
           1832	 -0.025	 -0.025
           1833	 -0.040	 -0.030
           1834	 -0.040	 -0.030
           1835	 -0.050	 -0.035
           1836	 -0.055	 -0.035
           1837	 -0.040	 -0.040
           1838	 -0.030	 -0.040
           1839	 -0.025	 -0.045
           1840	 -0.025	 -0.045
           1841	 -0.030	 -0.050
           1842	 -0.035	 -0.050
           1843	 -0.060	 -0.055
           1844	 -0.060	 -0.060
           1845	 -0.070	 -0.060
           1846	 -0.060	 -0.060
           1847	 -0.035	 -0.060
           1848	 -0.030	 -0.055
           1849	 -0.010	 -0.050
           1850	 -0.025	 -0.045
           1851	 -0.025	 -0.040
           1852	 -0.040	 -0.035
           1853	 -0.055	 -0.035
           1854	 -0.070	 -0.035
           1855	 -0.075	 -0.040
           1856	 -0.040	 -0.045
           1857	 -0.045	 -0.055
           1858	 -0.040	 -0.060
           1859	 -0.045	 -0.070
           1860	 -0.030	 -0.070
           1861	 -0.035	 -0.075
           1862	 -0.050	 -0.075
           1863	 -0.055	 -0.070
           1864	 -0.065	 -0.070
           1865	 -0.070	 -0.065
           1866	 -0.065	 -0.065
           1867	 -0.060	 -0.065
           1868	 -0.050	 -0.065
           1869	 -0.040	 -0.070
           1870	 -0.030	 -0.070
           1871	 -0.045	 -0.075
           1872	 -0.055	 -0.075
           1873	 -0.050	 -0.075
           1874	 -0.060	 -0.070
           1875	 -0.070	 -0.070
           1876	 -0.045	 -0.065
           1877	 -0.040	 -0.060
           1878	 -0.030	 -0.055
           1879	 -0.025	 -0.055
           1880	 -0.040	 -0.050
           1881	 -0.040	 -0.050
           1882	 -0.055	 -0.050
           1883	 -0.055	 -0.050
           1884	 -0.065	 -0.050
           1885	 -0.065	 -0.050
           1886	 -0.065	 -0.055
           1887	 -0.060	 -0.055
           1888	 -0.025	 -0.060
           1889	 -0.030	 -0.065
           1890	 -0.015	 -0.070
           1891	 -0.040	 -0.075
           1892	 -0.060	 -0.075
           1893	 -0.065	 -0.080
           1894	 -0.070	 -0.080
           1895	 -0.075	 -0.075
           1896	 -0.060	 -0.070
           1897	 -0.050	 -0.065
           1898	 -0.025	 -0.060
           1899	 -0.025	 -0.055
           1900	 -0.025	 -0.055
           1901	 -0.030	 -0.055
           1902	 -0.045	 -0.060
           1903	 -0.055	 -0.065
           1904	 -0.060	 -0.065
           1905	 -0.080	 -0.070
           1906	 -0.075	 -0.075
           1907	 -0.070	 -0.080
           1908	 -0.060	 -0.085
           1909	 -0.035	 -0.085
           1910	 -0.035	 -0.090
           1911	 -0.055	 -0.090
